RUNNING 2021-08-13 16:28:57.104856
Line ['5626', '2020-10-16', '24:10:13', '65124', '1658', '847', '23', '2020-12-23', '14:32:18', '2020-11-24', '23:52:15'] has been removed.
Line ['73988', '2020-11-28', '24:34:32', '97158', '1894', '625', '50', '2020-11-20', '17:21:10', '2020-10-13', '23:25:41'] has been removed.
Line ['37748', '2020-11-16', '17:44:34', '94819', '9981', '43', '35', '2020-10-10', '13:33:55', '2020-10-24', '24:49:25'] has been removed.
Line ['98187', '2020-12-22', '24:13:31', '36874', '1012', '7', '15', '2020-11-15', '22:13:24', '2020-12-10', '15:59:51'] has been removed.
Line ['73676', '2020-11-18', '14:43:42', '57726', '4249', '705', '38', '2020-11-17', '24:26:24', '2020-10-18', '15:42:42'] has been removed.
Line ['59539', '2020-11-14', '15:57:39', '21038', '4764', '94', '24', '2020-11-29', '24:12:41', '2020-11-10', '14:44:15'] has been removed.
Line ['51947', '2020-12-29', '24:56:50', '13759', '3143', '767', '21', '2020-12-10', '20:41:38', '2020-11-28', '19:16:16'] has been removed.
Line ['2944', '2020-12-21', '21:13:24', '63210', '3765', '276', '27', '2020-11-22', '24:14:23', '2020-12-13', '18:58:41'] has been removed.
Line ['98821', '2020-10-11', '13:27:49', '64166', '6610', '314', '36', '2020-11-13', '24:30:11', '2020-12-11', '13:47:54'] has been removed.
Line ['13517', '2020-12-16', '19:21:11', '83252', '5896', '652', '43', '2020-10-10', '24:27:56', '2020-12-29', '15:54:31'] has been removed.
Line ['40742', '2020-10-18', '24:47:25', '19073', '9621', '10', '39', '2020-11-24', '24:57:15', '2020-10-19', '20:26:18'] has been removed.
Line ['9661', '2020-10-21', '12:32:49', '71891', '3056', '359', '18', '2020-11-16', '24:45:58', '2020-10-11', '15:28:44'] has been removed.
Line ['65532', '2020-12-23', '21:33:53', '94358', '9343', '239', '22', '2020-11-14', '17:38:15', '2020-10-22', '24:45:13'] has been removed.
Line ['30986', '2020-12-28', '22:22:14', '62732', '3193', '186', '5', '2020-11-23', '23:17:38', '2020-11-20', '24:10:15'] has been removed.
Line ['19515', '2020-11-29', '22:50:46', '64505', '4290', '321', '25', '2020-12-16', '24:45:51', '2020-10-17', '14:41:21'] has been removed.
Line ['48236', '2020-10-20', '13:40:32', '34151', '4773', '219', '38', '2020-10-28', '13:39:41', '2020-10-13', '24:20:37'] has been removed.
Line ['89861', '2020-11-15', '17:46:52', '27262', '6713', '152', '21', '2020-10-13', '24:16:57', '2020-10-27', '22:18:58'] has been removed.
Line ['89216', '2020-12-23', '15:23:43', '44528', '1909', '309', '12', '2020-12-12', '24:41:59', '2020-11-10', '21:16:49'] has been removed.
Line ['69022', '2020-10-12', '24:49:37', '62842', '6532', '461', '20', '2020-11-17', '23:57:38', '2020-11-21', '12:50:18'] has been removed.
Line ['67928', '2020-12-28', '19:30:28', '1970', '5358', '188', '32', '2020-11-27', '23:28:23', '2020-11-26', '24:22:24'] has been removed.
Line ['58463', '2020-11-10', '24:31:25', '63485', '1627', '52', '17', '2020-10-28', '19:27:42', '2020-12-18', '17:25:56'] has been removed.
Line ['40163', '2020-10-23', '21:26:29', '4791', '7660', '617', '46', '2020-10-26', '23:51:38', '2020-10-30', '24:53:41'] has been removed.
Line ['48328', '2020-10-15', '22:15:32', '74729', '6534', '723', '9', '2020-12-10', '17:15:12', '2020-10-21', '24:47:43'] has been removed.
Line ['59786', '2020-11-29', '23:21:55', '52562', '6297', '30', '18', '2020-12-11', '24:18:40', '2020-12-16', '12:36:31'] has been removed.
Line ['5131', '2020-12-13', '24:24:32', '73348', '5801', '500', '20', '2020-10-29', '21:55:30', '2020-10-15', '23:30:22'] has been removed.
Line ['8870', '2020-11-25', '20:53:23', '6888', '8497', '706', '44', '2020-11-14', '19:30:40', '2020-12-14', '24:31:14'] has been removed.
Line ['93826', '2020-11-17', '21:42:47', '30039', '8270', '683', '37', '2020-10-13', '24:29:24', '2020-11-11', '20:42:29'] has been removed.
Line ['58839', '2020-11-16', '22:27:43', '73493', '9575', '953', '3', '2020-10-10', '12:37:18', '2020-11-24', '24:56:46'] has been removed.
Line ['65711', '2020-11-22', '24:54:58', '49926', '3435', '646', '37', '2020-11-12', '12:24:34', '2020-10-19', '12:24:19'] has been removed.
Line ['78368', '2020-10-19', '16:54:31', '95027', '9041', '903', '24', '2020-12-10', '24:38:57', '2020-11-18', '20:36:46'] has been removed.
Line ['75186', '2020-10-15', '24:49:20', '32857', '1154', '108', '1', '2020-12-23', '15:16:40', '2020-11-28', '18:20:13'] has been removed.
Line ['52599', '2020-12-28', '23:54:42', '4640', '4509', '861', '32', '2020-10-27', '24:35:59', '2020-11-17', '13:12:34'] has been removed.
Line ['22640', '2020-11-22', '15:33:43', '46486', '2515', '980', '34', '2020-12-14', '15:34:21', '2020-11-23', '24:42:19'] has been removed.
Line ['30360', '2020-12-20', '24:27:17', '65176', '7029', '936', '43', '2020-10-18', '22:14:31', '2020-10-25', '23:12:54'] has been removed.
Line ['48475', '2020-12-19', '13:48:48', '25888', '4124', '527', '28', '2020-10-19', '21:10:58', '2020-12-19', '24:20:44'] has been removed.
Line ['49916', '2020-12-24', '17:59:28', '89396', '6325', '467', '21', '2020-11-19', '24:42:19', '2020-11-22', '14:49:43'] has been removed.
Line ['75400', '2020-11-16', '16:41:41', '27527', '4669', '847', '18', '2020-11-12', '24:13:50', '2020-12-19', '24:50:20'] has been removed.
Line ['44675', '2020-12-11', '24:51:24', '75108', '2097', '574', '36', '2020-12-17', '18:47:28', '2020-10-14', '14:19:21'] has been removed.
Line ['15381', '2020-11-26', '23:11:33', '71930', '4639', '797', '16', '2020-10-13', '24:36:13', '2020-10-15', '13:25:33'] has been removed.
Line ['90147', '2020-12-24', '14:12:52', '61761', '4518', '896', '14', '2020-10-16', '24:12:36', '2020-11-24', '15:23:12'] has been removed.
Line ['68925', '2020-11-29', '15:37:32', '5992', '4616', '896', '16', '2020-11-13', '24:33:36', '2020-12-17', '21:57:47'] has been removed.
Line ['29568', '2020-11-20', '22:54:11', '38614', '8027', '521', '50', '2020-10-26', '24:20:21', '2020-10-15', '20:55:10'] has been removed.
Line ['31311', '2020-11-26', '21:29:52', '78452', '4811', '38', '48', '2020-10-10', '17:30:37', '2020-10-17', '24:17:31'] has been removed.
Line ['36367', '2020-11-14', '24:12:39', '32039', '1866', '881', '15', '2020-12-28', '23:39:17', '2020-12-30', '18:49:55'] has been removed.
Line ['39897', '2020-12-26', '19:23:59', '45826', '3139', '743', '15', '2020-12-15', '24:44:38', '2020-12-22', '20:35:52'] has been removed.
Line ['81839', '2020-10-12', '24:37:50', '51514', '6440', '74', '21', '2020-10-17', '23:26:57', '2020-10-13', '12:45:54'] has been removed.
Line ['46023', '2020-11-25', '22:14:57', '41105', '3023', '163', '36', '2020-11-28', '18:13:13', '2020-11-10', '24:56:16'] has been removed.
